0,1
GEB_index,-1.07
limit_up_2_to_3,66.67%
SH_index,0.72
limit_up_3_to_4,100.00%
up,1802
limit_up_1,23
limit_up,34
limit_up_ctn,11
limit_up_2,4
limit_down,29
limit_up_3,4
limit_up_1_to_2,30.77%
date,2019/11/25
limit_up_used,13
"down,",1803
limit_up_more,3
